City, Country,AQI_PM2_5,PM2_5,PM10,wind_speed,Soiling_Rate,lat,lng
Granada, ES,48.58108108108108,11.5,30.254464285714285,46.58482142857143,0.024,37.17648315,-3.59793711
Graz, AT,36.35175879396985,8.6,0.0,0.0,0.015,47.06954956,15.43818283
Grenoble, FR,41.1008174386921,9.8,0.0,0.0,0.018,45.19425583,5.73166895
Groningen, NL,33.57681940700809,7.9,0.0,0.0,0.013,53.21446991,6.56648111
Guadalajara, MX,69.55270655270655,20.6,0.0,0.0,0.052,20.6751709,-103.34732819
Guangzhou, CN,67.48247978436657,19.7,0.0,0.0,0.049,23.12907982,113.26435852
Guatemala City, GT,47.45059288537549,11.2,19.822222222222223,47.42913385826772,0.023,14.64198017,-90.513237
Guiyang, CN,61.84366576819407,16.8,0.0,0.0,0.04,26.64759064,106.63018799
Gwangju, KR,56.00269541778976,14.4,27.210643015521065,59.03991130820399,0.033,35.16243744,126.91033936
Győr, HU,45.30689655172414,10.8,0.0,0.0,0.022,47.68405151,17.63510132
Göteborg, SE,24.429752066115704,5.7,0.0,0.0,0.006,57.70887,11.97456
Haarlem, NL,39.81940700808625,9.3,0.0,0.0,0.017,52.37949371,4.6377182
Haifa, IL,58.45205479452055,15.4,29.986486486486488,57.98423423423424,0.036,32.81912231,34.99838638
Haikou, CN,48.14824797843666,11.5,0.0,0.0,0.024,20.04470062,110.19998169
Haiphong, VN,16.26341463414634,3.8,0.0,0.0,-0.0,20.8647213,106.68383026
Halifax, CA,19.450134770889488,4.5,0.0,0.0,0.002,44.64624405,-63.57356644
Hamburg, DE,39.97837837837838,9.3,0.0,0.0,0.017,53.55725479,9.99596596
Hamilton, CA,29.514824797843666,6.9,0.0,0.0,0.009,39.73892975,-122.01522827
Hangzhou, CN,84.55256064690028,27.7,0.0,0.0,0.074,30.24592018,120.21079254
Hanoi, VN,79.90835579514825,25.4,0.0,0.0,0.067,20.99848557,105.7004776
Harbin, CN,82.87870619946092,26.8,0.0,0.0,0.071,45.80335999,126.53513336
Hartford, US,28.80323450134771,6.7,12.119733924611973,28.2860310421286,0.009,41.76577377,-72.6733551
Hefei, CN,88.38005390835579,29.6,0.0,0.0,0.08,31.82052612,117.22711182
Hegang, CN,55.59299191374663,14.0,0.0,0.0,0.031,47.35012054,130.29801941
Helsinki, FI,21.92265193370166,5.0,0.0,0.0,0.004,60.16980743,24.93812752
Hiroshima, JP,38.04043126684636,9.1,0.0,0.0,0.016,34.38978195,132.44096375
Ho Chi Minh City, VN,70.13725490196079,21.1,0.0,0.0,0.054,10.77653027,106.70097351
Hobart, AU,10.819407008086252,2.4,5.1529933481153,10.23059866962306,0.0,-42.88000107,147.32000732
Hohhot, CN,70.21832884097034,21.1,0.0,0.0,0.054,40.84262085,111.74868011
Hong Kong, HK,51.78167115902965,12.1,0.0,0.0,0.026,22.27533913,114.16545868
Honolulu, US,16.669398907103826,3.8,11.783018867924527,17.467415730337077,-0.0,21.30991936,-157.8581543
Houston, US,39.23180592991914,9.3,0.0,38.85587583148559,0.017,29.76080322,-95.36950684
Hsinchu, TW,41.31266846361186,9.8,21.17960088691796,44.19733924611973,0.018,24.80726814,120.96849823
Huelva, ES,35.945945945945944,8.4,21.176339285714285,34.832589285714285,0.014,37.25714493,-6.94953823
Huế, VN,16.428571428571427,3.8,0.0,0.0,-0.0,16.47150612,107.56671143
Hyderabad, IN,109.66847826086956,38.7,69.759009009009,115.64732142857144,0.108,17.36599922,78.47599792
Hāpur, IN,135.49725274725276,49.3,102.9144144144144,138.44144144144144,0.141,28.74046898,77.77690125
Incheon, KR,62.460916442048514,17.3,32.61640798226164,66.49889135254989,0.042,37.47809219,126.64028931
Indianapolis, US,38.68258426966292,9.1,18.85238095238095,38.4954128440367,0.016,39.76845169,-86.15621185
Isfahan, IR,96.63106796116504,33.4,0.0,0.0,0.092,32.70920563,51.64126587
Islamabad, PK,109.63478260869566,38.7,0.0,0.0,0.108,33.72000122,73.05999756
Istanbul, TR,62.94054054054054,17.3,31.093126385809317,64.74666666666667,0.042,41.01300049,28.96380043
Ivano-Frankivsk, UA,20.303571428571427,4.8,8.232142857142858,20.303571428571427,0.003,48.92277908,24.71055984
Jackson, US,35.42048517520216,8.4,15.758314855875833,34.43680709534368,0.014,32.30289841,-90.18348694
Jacksonville, US,34.63072776280323,8.1,16.93569844789357,34.651884700665185,0.013,30.32596779,-81.65676117
Jaipur, IN,124.98076923076924,44.8,79.34009009009009,127.58783783783784,0.127,26.92103958,75.7943573
Jakarta, ID,91.58490566037736,31.1,38.22222222222222,87.41241685144124,0.085,-6.20823908,106.83882141
Jeju City, KR,50.41509433962264,12.0,27.002217294900223,51.97782705099778,0.025,33.51013565,126.52193451
Jeonju, KR,60.57412398921833,16.3,31.773835920177383,64.6740576496674,0.039,35.81700134,127.15000153
Jerusalem, IL,55.38082191780822,14.0,32.32432432432432,54.38288288288288,0.031,31.77882385,35.22576141
Jieyang, CN,70.26684636118598,21.1,0.0,0.0,0.054,23.54978943,116.37281036
Jinan, CN,93.50943396226415,32.0,0.0,0.0,0.087,36.65184021,117.12008667
Johannesburg, ZA,72.93243243243244,22.0,0.0,0.0,0.056,-26.20145226,28.04548836
Kagoshima, JP,38.13550135501355,9.1,0.0,0.0,0.016,31.5859642,130.56106567
Kampala, UG,120.83382789317508,43.2,0.0,0.0,0.122,0.31771401,32.58135223
Kanazawa, JP,28.702247191011235,6.7,0.0,0.0,0.009,36.56000137,136.64001465
Kaohsiung, TW,62.83018867924528,17.3,36.328159645232816,66.78935698447894,0.042,22.62054825,120.31204987
Karachi, PK,108.92628205128206,38.3,0.0,0.0,0.107,24.87193871,66.98806
Karaj, IR,101.43558282208588,35.5,0.0,0.0,0.098,35.82249069,50.99046707
Karlsruhe, DE,37.700808625336926,8.8,0.0,0.0,0.015,49.00808334,8.40375614
Kassel, DE,35.78436657681941,8.4,0.0,0.0,0.014,51.31842422,9.49322701
Kathmandu, NP,104.25876010781673,36.7,45.39464882943144,112.58980044345898,0.102,27.71201706,85.31295013
Katowice, PL,65.74489795918367,18.7,23.5,64.57865168539325,0.046,50.25860596,19.02042007
Kaunas, LT,40.506802721088434,9.6,0.0,0.0,0.018,54.89687347,23.89242554
Kayseri, TR,57.722371967654986,14.9,45.91352549889135,58.45011086474501,0.034,38.72278976,35.48904037
Kecskemét, HU,47.528301886792455,11.2,0.0,0.0,0.023,46.90643692,19.68972206
Keelung, TW,33.15363881401617,7.9,17.254988913525498,35.12638580931264,0.013,25.13170242,121.74451447
Kerman, IR,75.29136690647482,23.5,0.0,0.0,0.061,30.29240799,57.06456375
Kermanshah, IR,64.55555555555556,18.2,0.0,0.0,0.045,34.32394028,47.07358932
Khorramabad, IR,73.82594936708861,22.5,0.0,0.0,0.058,33.48421097,48.35382843
Khorramshahr, IR,114.95,40.7,0.0,0.0,0.114,30.43330956,48.17798615
Kitchener, CA,28.90566037735849,6.7,0.0,0.0,0.009,43.44978714,-80.48908997
Klerksdorp, ZA,22.952380952380956,5.2,0.0,0.0,0.004,-26.87049103,26.66446495
Kobe, JP,37.44173441734417,8.8,0.0,0.0,0.015,34.67998886,135.16998291
Kochi, JP,36.0,8.6,0.0,0.0,0.015,33.56243515,133.53752136
Kolkata, IN,110.87061994609164,39.1,0.0,0.0,0.109,22.56557274,88.37021637
Konya, TR,88.45283018867924,29.6,45.41241685144124,92.51662971175166,0.08,37.87165833,32.49895859
Košice, SK,57.79514824797844,14.9,0.0,0.0,0.034,48.71710968,21.25978279
Kraków, PL,61.80487804878049,16.8,25.681514476614694,63.09799554565701,0.04,50.05480957,19.927845
Krasnoyarsk, RU,31.24728260869565,7.4,0.0,33.76681614349776,0.011,56.01005173,92.8526001
Kryvyi Rih, UA,14.25,3.3,5.919642857142857,14.25,0.0,47.93434143,33.43420029
Kumamoto, JP,43.118598382749326,10.3,0.0,0.0,0.02,32.80093002,130.70063782
Kunming, CN,60.79245283018868,16.3,0.0,0.0,0.039,24.8800106,102.83296204
Kyiv, UA,28.085324232081916,6.7,6.825688073394495,28.085324232081916,0.009,50.44974899,30.52371788
Kyoto, JP,40.33692722371968,9.6,0.0,0.0,0.018,35.10606003,135.72740173
Köln, DE,36.23888888888889,8.6,0.0,0.0,0.015,50.94053268,6.9599061
Kütahya, TR,75.48857142857143,23.5,50.84727272727272,75.01190476190476,0.061,39.41989136,29.98519135
Lahore, PK,190.5866141732284,131.0,0.0,0.0,0.394,31.56191826,74.34807587
Lampang, TH,69.98382749326146,20.6,0.0,0.0,0.052,18.29069328,99.49891663
Lanzhou, CN,99.30188679245283,34.9,0.0,0.0,0.096,36.06137848,103.83416748
Las Palmas de Gran Canaria, ES,31.302702702702703,7.4,28.011111111111116,31.517777777777777,0.011,28.12482643,-15.43002129
