1691,Goettingen,Niedersachsen,0,9.9507,51.5002,167

DNI (W/m^2),GHI (W/m^2),Date (MM/DD/YYYY),Time (HH:MM),DHI (W/m^2),Dry-bulb (C),Alb

0,0,01/12/2019,05:00,0,1,37,0.25

0,0,01/12/2019,06:00,0,1,47,0.25

0,0,01/12/2019,07:00,0,1,22,0.25

3,3333,9,2592,01/12/2019,08:00,5,9259,1,65,0.25

32,7777,91,0495,01/12/2019,09:00,58,2716,2,1,0.25

43,6113,121,142,01/12/2019,10:00,77,5308,2,77,0.25

90,8334,252,3148,01/12/2019,11:00,161,4815,3,05,0.25

157,7778,438,2716,01/12/2019,12:00,280,4937,3,72,0.25

137,2222,381,1728,01/12/2019,13:00,243,9505,4,42,0.25

67,7779,188,2716,01/12/2019,14:00,120,4938,4,47,0.25

9,1667,25,4629,01/12/2019,15:00,16,2964,4,75,0.25

0,2778,0,7716,01/12/2019,16:00,0,4938,4,88,0.25

0,0,01/12/2019,17:00,0,4,83,0.25

0,0,01/12/2019,18:00,0,4,97,0.25

0,0,01/12/2019,19:00,0,5,12,0.25

0,0,01/12/2019,20:00,0,5,6,0.25

0,0,01/12/2019,21:00,0,5,73,0.25

0,0,01/12/2019,22:00,0,5,88,0.25

0,0,01/12/2019,23:00,0,5,92,0.25

0,0,01/13/2019,00:00,0,5,67,0.25

0,0,01/13/2019,01:00,0,5,58,0.25

0,0,01/13/2019,02:00,0,5,75,0.25

0,0,01/13/2019,03:00,0,5,55,0.25

0,0,01/13/2019,04:00,0,5,53,0.25

0,0,01/13/2019,05:00,0,5,67,0.25

0,0,01/13/2019,06:00,0,5,45,0.25

0,0,01/13/2019,07:00,0,4,12,0.25

3,0555,8,4876,01/13/2019,08:00,5,4321,4,72,0.25

54,9999,152,7778,01/13/2019,09:00,97,7778,5,22,0.25

98,0556,272,3765,01/13/2019,10:00,174,3211,5,77,0.25

127,4998,354,1667,01/13/2019,11:00,226,6666,6,4,0.25

100,5557,279,3211,01/13/2019,12:00,178,7654,6,7,0.25

103,611,287,8084,01/13/2019,13:00,184,1976,7,03,0.25

87,2222,242,284,01/13/2019,14:00,155,0615,6,67,0.25

37,2222,103,3951,01/13/2019,15:00,66,1728,6,0.25

4,7223,13,1172,01/13/2019,16:00,8,3951,5,87,0.25

0,0,01/13/2019,17:00,0,6,08,0.25

0,0,01/13/2019,18:00,0,6,1,0.25

0,0,01/13/2019,19:00,0,5,67,0.25

0,0,01/13/2019,20:00,0,5,35,0.25

0,0,01/13/2019,21:00,0,5,1,0.25

0,0,01/13/2019,22:00,0,4,73,0.25

0,0,01/13/2019,23:00,0,5,73,0.25

