,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time
2020-01-17 23:00:00,80.63616249441006,80.7323625813117,9.363837505589935,9.267637418688295,233.05926348607977,-10.055924178301211
2020-01-18 00:00:00,89.95754239764129,90.52023015504697,0.04245760235870488,-0.5202301550469798,243.1444889639591,-10.06960342153252
2020-01-18 01:00:00,101.18516643328044,101.18516643328044,-11.185166433280436,-11.185166433280436,252.31359380543714,-10.083262854819623
2020-01-18 02:00:00,112.3990868641008,112.3990868641008,-22.399086864100795,-22.399086864100795,261.13099903597595,-10.096902458575642
2020-01-18 03:00:00,123.88695669272755,123.88695669272755,-33.886956692727544,-33.886956692727544,270.2878014218518,-10.110522212686192
2020-01-18 04:00:00,135.3531880920794,135.3531880920794,-45.35318809207939,-45.35318809207939,280.8362849463801,-10.124122097451618
2020-01-18 05:00:00,146.3308455666101,146.3308455666101,-56.33084556661008,-56.33084556661008,294.8049592148691,-10.137702093230473
2020-01-18 06:00:00,155.74418079292613,155.74418079292613,-65.74418079292613,-65.74418079292613,316.65181016426504,-10.15126217983925
2020-01-18 07:00:00,160.8096826698834,160.8096826698834,-70.8096826698834,-70.8096826698834,352.7459023116438,-10.164802337563742
2020-01-18 08:00:00,158.14800721837207,158.14800721837207,-68.14800721837209,-68.14800721837209,32.837756453502266,-10.178322546737036
2020-01-18 09:00:00,149.7650202826596,149.7650202826596,-59.7650202826596,-59.7650202826596,58.96268945100758,-10.191822787113779
2020-01-18 10:00:00,139.13465007458566,139.13465007458566,-49.134650074585664,-49.134650074585664,74.90635697907362,-10.205303038965212
2020-01-18 11:00:00,127.75742433827193,127.75742433827193,-37.757424338271925,-37.757424338271925,86.2973315626644,-10.218763282526197
2020-01-18 12:00:00,116.2297979185574,116.2297979185574,-26.229797918557395,-26.229797918557395,95.7706447185206,-10.232203497547744
2020-01-18 13:00:00,104.88038314301376,104.88038314301376,-14.880383143013754,-14.880383143013754,104.60817717188485,-10.245623664326558
2020-01-18 14:00:00,93.98034470022046,93.98034470022046,-3.9803447002204604,-3.9803447002204604,113.58513974980349,-10.25902376297745
2020-01-18 15:00:00,83.6963930392994,83.8327316697902,6.303606960700601,6.167268330209799,123.29621520669104,-10.27240377329872
2020-01-18 16:00:00,74.76917462499004,74.82951031986968,15.230825375009958,15.17048968013031,134.26741700565134,-10.285763675423368
2020-01-18 17:00:00,67.44881956124411,67.48894169755245,22.5511804387559,22.511058302447555,146.9242832633102,-10.2991034495426
2020-01-18 18:00:00,62.40734173699299,62.4393589721044,27.59265826300701,27.560641027895596,161.39586879116143,-10.312423075436527
2020-01-18 19:00:00,60.252718588165095,60.28203470857174,29.7472814118349,29.717965291428253,177.2153253085885,-10.325722533172666
