"City, Country",min,max,median,variance
"Nicosia, CY",34.19287671232877,83.40493150684931,60.44465753424657,2963.4681369863015
"Copenhagen, DK",59.137982195845694,88.5940652818991,74.26112759643917,1226.3619881305638
"Quito, EC",48.260000000000005,98.625,81.90375000000002,2217.3762500000003
"Addis Ababa, ET",38.332121212121216,79.25181818181818,60.2030303030303,17670.62366666667
"Helsinki, FI",54.834999999999994,97.20083333333334,83.26722222222223,1617.0525555555553
"Oulu, FI",62.64450704225352,84.94985915492958,75.2549295774648,890.179633802817
"Tampere, FI",62.90416666666667,94.57222222222222,78.21805555555555,1466.0762777777777
"Turku, FI",61.36527777777778,95.35833333333333,78.30694444444444,1677.5692500000002
"Vantaa, FI",55.96518105849582,94.008356545961,76.29387186629526,1795.18635097493
"Belfast, GB",63.34931506849315,91.4,78.78904109589041,864.0147123287671
"Birmingham, GB",67.05095890410959,94.15068493150685,83.03835616438356,1167.6833698630135
"Bristol, GB",63.25835616438356,92.15150684931506,80.39342465753424,991.5336986301368
"Cardiff, GB",56.36931506849316,92.14986301369862,78.20246575342466,1314.9632328767123
"Coventry, GB",60.2676712328767,91.62,76.50383561643837,1361.0121369863014
"Edinburgh, GB",61.38356164383562,95.12684931506848,80.27616438356164,877.8551506849316
"Glasgow, GB",65.0717808219178,96.50356164383561,83.69013698630137,874.7222739726028
"Leeds, GB",60.599452054794526,91.3364383561644,76.78739726027398,1647.08898630137
"Leicester, GB",64.77150684931506,89.54383561643837,78.52109589041096,914.4815616438357
"Liverpool, GB",60.33698630136986,91.6758904109589,78.2158904109589,960.4881917808219
"London, GB",39.972328767123294,95.11041095890411,74.71123287671233,1447.2763561643835
"Manchester, GB",54.20821917808219,92.03945205479452,74.44547945205478,1297.0622465753424
"Newport, GB",64.37047353760445,90.8008356545961,79.70807799442898,1032.9190529247912
"Norwich, GB",63.6213698630137,90.39397260273971,78.9764383561644,1045.8215342465753
"Plymouth, GB",68.35780821917808,94.30657534246576,83.03945205479452,850.5046849315067
"Preston, GB",64.49945205479452,93.26931506849316,81.02575342465752,983.8549863013699
"Reading, GB",59.1654794520548,91.88520547945205,77.44657534246576,1530.6879726027396
"Sheffield, GB",62.745753424657536,91.10602739726026,79.30383561643836,872.7675342465755
