date;time;GHI;DHI
24.09.2020;17:30:00;0;0
24.09.2020;17:40:00;0;0
24.09.2020;17:50:00;0;0
24.09.2020;18:00:00;0;0
24.09.2020;18:10:00;0;0
24.09.2020;18:20:00;0;0
24.09.2020;18:30:00;0;0
24.09.2020;18:40:00;0;0
24.09.2020;18:50:00;0;0
24.09.2020;19:00:00;0;0
24.09.2020;19:10:00;0;0
24.09.2020;19:20:00;0;0
24.09.2020;19:30:00;0;0
24.09.2020;19:40:00;0;0
24.09.2020;19:50:00;0;0
24.09.2020;20:00:00;0;0
24.09.2020;20:10:00;0;0
24.09.2020;20:20:00;0;0
24.09.2020;20:30:00;0;0
24.09.2020;20:40:00;0;0
24.09.2020;20:50:00;0;0
24.09.2020;21:00:00;0;0
24.09.2020;21:10:00;0;0
24.09.2020;21:20:00;0;0
24.09.2020;21:30:00;0;0
24.09.2020;21:40:00;0;0
24.09.2020;21:50:00;0;0
24.09.2020;22:00:00;0;0
24.09.2020;22:10:00;0;0
24.09.2020;22:20:00;0;0
24.09.2020;22:30:00;0;0
24.09.2020;22:40:00;0;0
24.09.2020;22:50:00;0;0
24.09.2020;23:00:00;0;0
24.09.2020;23:10:00;0;0
24.09.2020;23:20:00;0;0
24.09.2020;23:30:00;0;0
24.09.2020;23:40:00;0;0
24.09.2020;23:50:00;0;0
25.09.2020;00:00:00;0;0
25.09.2020;00:10:00;0;0
25.09.2020;00:20:00;0;0
25.09.2020;00:30:00;0;0
25.09.2020;00:40:00;0;0
25.09.2020;00:50:00;0;0
25.09.2020;01:00:00;0;0
25.09.2020;01:10:00;0;0
25.09.2020;01:20:00;0;0
25.09.2020;01:30:00;0;0
25.09.2020;01:40:00;0;0
25.09.2020;01:50:00;0;0
25.09.2020;02:00:00;0;0
25.09.2020;02:10:00;0;0
25.09.2020;02:20:00;0;0
25.09.2020;02:30:00;0;0
25.09.2020;02:40:00;0;0
25.09.2020;02:50:00;0;0
25.09.2020;03:00:00;0;0
25.09.2020;03:10:00;0;0
25.09.2020;03:20:00;0;0
25.09.2020;03:30:00;0;0
25.09.2020;03:40:00;0;0
25.09.2020;03:50:00;0;0
25.09.2020;04:00:00;0;0
25.09.2020;04:10:00;0;0
25.09.2020;04:20:00;0;0
