Date,Specie,median
2022-04-28,wind-speed,4.6
2022-04-28,pm25,25.0
2022-04-29,wind-speed,1.8
2022-04-29,pm25,30.0
2022-04-29,humidity,64.3
2022-04-30,wind-speed,3.2
2022-04-30,pm25,25.0
2022-04-30,humidity,70.1
2022-05-01,wind-speed,2.7
2022-05-01,humidity,67.3
2022-05-01,pm25,30.0
2022-05-02,humidity,70.6
2022-05-02,wind-speed,3.6
2022-05-02,pm25,25.0
2022-05-03,humidity,52.8
2022-05-03,wind-speed,2.2
2022-05-03,pm25,25.0
2022-05-04,wind-speed,2.7
2022-05-04,pm25,38.0
2022-05-04,humidity,70.6
2022-05-05,pm25,30.0
2022-05-05,humidity,69.0
2022-05-05,wind-speed,3.5
2022-05-06,pm25,17.0
2022-05-06,humidity,73.7
2022-05-06,wind-speed,3.5
2022-05-07,humidity,61.1
2022-05-07,wind-speed,5.0
2022-05-07,pm25,21.0
2022-05-08,wind-speed,7.1
2022-05-08,pm25,21.0
2022-05-08,humidity,62.1
2022-05-09,wind-speed,4.8
2022-05-09,pm25,21.0
2022-05-09,humidity,64.2
2022-05-10,pm25,13.0
2022-05-10,humidity,64.0
2022-05-10,wind-speed,3.6
2022-05-11,humidity,63.5
2022-05-11,wind-speed,2.2
2022-05-11,pm25,13.0
2022-05-12,humidity,65.5
2022-05-12,wind-speed,2.7
2022-05-12,pm25,17.0
2022-05-13,humidity,67.0
2022-05-13,pm25,17.0
2022-05-13,wind-speed,2.1
2022-05-14,pm25,17.0
2022-05-14,wind-speed,2.8
2022-05-14,humidity,64.5
2022-05-15,pm25,17.0
2022-05-15,wind-speed,3.0
2022-05-15,humidity,65.3
2022-05-16,pm25,17.0
2022-05-16,wind-speed,4.5
2022-05-16,humidity,67.2
2022-05-17,pm25,42.0
2022-05-17,wind-speed,3.0
2022-05-17,humidity,65.5
2022-05-18,pm25,50.0
2022-05-18,humidity,59.6
2022-05-18,wind-speed,2.6
2022-05-19,humidity,55.0
2022-05-19,wind-speed,2.3
2022-05-19,pm25,46.0
2022-05-20,humidity,45.3
2022-05-20,wind-speed,3.3
2022-05-20,pm25,30.0
2022-05-21,wind-speed,2.1
2022-05-21,pm25,59.0
2022-05-21,humidity,65.3
2022-05-22,pm25,55.0
2022-05-22,humidity,68.0
2022-05-22,wind-speed,2.5
2022-05-23,pm25,50.0
2022-05-23,humidity,64.8
2022-05-23,wind-speed,2.7
2022-05-24,pm25,53.0
2022-05-24,wind-speed,2.6
2022-05-24,humidity,51.0
2022-05-25,wind-speed,4.0
2022-05-25,pm25,42.0
2022-05-25,humidity,60.1
2022-05-26,wind-speed,5.3
2022-05-26,pm25,17.0
2022-05-26,humidity,67.0
2022-05-27,pm25,21.0
2022-05-27,humidity,68.0
2022-05-27,wind-speed,5.3
2022-05-28,humidity,63.5
2022-05-28,wind-speed,4.6
2022-05-28,pm25,9.0
2022-05-29,humidity,61.1
2022-05-29,wind-speed,2.8
2022-05-29,pm25,21.0
2022-05-30,wind-speed,3.0
2022-05-30,pm25,34.0
2022-05-30,humidity,61.6
2022-05-31,pm25,34.0
2022-05-31,humidity,63.6
2022-05-31,wind-speed,2.5
2022-06-01,pm25,42.0
2022-06-01,humidity,70.7
2022-06-01,wind-speed,2.5
2022-06-02,humidity,75.1
2022-06-02,wind-speed,2.8
2022-06-02,pm25,25.0
2022-06-03,wind-speed,2.7
2022-06-03,pm25,13.0
2022-06-03,humidity,81.1
2022-06-04,wind-speed,2.3
2022-06-04,pm25,13.0
2022-06-04,humidity,68.6
2022-06-05,wind-speed,2.7
2022-06-05,humidity,84.4
2022-06-05,pm25,13.0
2022-06-06,humidity,71.5
2022-06-06,pm25,21.0
2022-06-06,wind-speed,3.0
2022-06-07,humidity,75.6
2022-06-07,pm25,30.0
2022-06-07,wind-speed,3.3
2022-06-08,humidity,69.2
2022-06-08,pm25,17.0
2022-06-08,wind-speed,2.2
2022-06-09,humidity,66.4
2022-06-09,pm25,38.0
2022-06-09,wind-speed,2.1
2022-06-10,pm25,30.0
2022-06-10,wind-speed,2.1
2022-06-10,humidity,64.5
2022-06-11,wind-speed,2.0
2022-06-11,pm25,13.0
2022-06-11,humidity,73.0
2022-06-12,wind-speed,3.3
2022-06-12,pm25,9.0
2022-06-12,humidity,79.3
2022-06-13,pm25,21.0
2022-06-13,humidity,61.7
2022-06-13,wind-speed,2.6
2022-06-14,humidity,65.2
2022-06-14,wind-speed,2.1
2022-06-14,pm25,38.0
2022-06-15,humidity,71.6
2022-06-15,wind-speed,2.3
2022-06-15,pm25,55.0
2022-06-16,humidity,72.7
2022-06-16,pm25,21.0
2022-06-16,wind-speed,4.2
2022-06-17,pm25,17.0
2022-06-17,wind-speed,6.4
2022-06-17,humidity,76.8
2022-06-18,pm25,17.0
2022-06-18,wind-speed,3.0
2022-06-18,humidity,71.0
2022-06-19,pm25,30.0
2022-06-19,wind-speed,2.1
2022-06-19,humidity,69.0
2022-06-20,pm25,38.0
2022-06-20,wind-speed,2.0
2022-06-20,humidity,60.2
2022-06-21,pm25,38.0
2022-06-21,humidity,40.5
2022-06-21,wind-speed,2.6
2022-06-22,humidity,62.3
2022-06-22,wind-speed,3.2
2022-06-22,pm25,50.0
2022-06-23,humidity,72.5
2022-06-23,wind-speed,2.3
2022-06-23,pm25,30.0
2022-06-24,wind-speed,2.5
2022-06-24,pm25,34.0
2022-06-24,humidity,72.5
2022-06-25,pm25,50.0
2022-06-25,humidity,63.0
2022-06-25,wind-speed,2.6
2022-06-26,pm25,25.0
2022-06-26,humidity,59.8
2022-06-26,wind-speed,2.8
2022-06-27,pm25,25.0
2022-06-27,wind-speed,3.0
2022-06-27,humidity,55.7
2022-06-28,wind-speed,3.0
2022-06-28,humidity,55.6
2022-06-28,pm25,34.0
2022-06-29,wind-speed,3.8
2022-06-29,humidity,62.0
