Date,Specie,median
2022-03-12,wind-speed,5.5
2022-03-12,humidity,48.0
2022-03-12,pm10,24.0
2022-03-13,pm25,65.0
2022-03-13,wind-speed,4.8
2022-03-13,humidity,46.0
2022-03-13,pm10,29.0
2022-03-14,pm10,50.0
2022-03-14,wind-speed,3.9
2022-03-14,humidity,49.5
2022-03-14,pm25,74.0
2022-03-15,wind-speed,1.5
2022-03-15,pm25,37.0
2022-03-15,humidity,77.0
2022-03-15,pm10,27.0
2022-03-16,wind-speed,2.1
2022-03-16,pm10,29.0
2022-03-16,pm25,49.0
2022-03-16,humidity,87.0
2022-03-17,pm10,20.0
2022-03-17,pm25,53.0
2022-03-17,humidity,88.5
2022-03-17,wind-speed,5.1
2022-03-18,pm10,30.0
2022-03-18,wind-speed,3.2
2022-03-18,pm25,36.0
2022-03-18,humidity,67.0
2022-03-19,pm10,29.0
2022-03-19,humidity,49.5
2022-03-19,pm25,29.0
2022-03-19,wind-speed,2.7
2022-03-20,wind-speed,4.0
2022-03-20,pm25,42.0
2022-03-20,pm10,29.0
2022-03-20,humidity,63.0
2022-03-21,pm25,64.0
2022-03-21,humidity,50.0
2022-03-21,pm10,45.0
2022-03-21,wind-speed,3.9
2022-03-22,pm25,63.0
2022-03-22,humidity,49.0
2022-03-22,wind-speed,1.9
2022-03-22,pm10,50.0
2022-03-23,humidity,53.5
2022-03-23,pm10,43.0
2022-03-23,wind-speed,2.0
2022-03-23,pm25,66.0
2022-03-24,pm10,55.0
2022-03-24,pm25,68.0
2022-03-24,humidity,52.0
2022-03-24,wind-speed,2.3
2022-03-25,wind-speed,4.8
2022-03-25,pm25,55.0
2022-03-25,pm10,48.0
2022-03-25,humidity,58.5
2022-03-26,pm25,32.0
2022-03-26,pm10,21.0
2022-03-26,wind-speed,4.0
2022-03-26,humidity,49.5
2022-03-27,pm25,26.0
2022-03-27,humidity,51.0
2022-03-27,pm10,23.0
2022-03-27,wind-speed,4.1
2022-03-28,humidity,72.0
2022-03-28,pm25,32.0
2022-03-28,pm10,28.0
2022-03-28,wind-speed,6.1
2022-03-29,wind-speed,3.2
2022-03-29,humidity,60.0
2022-03-29,pm10,23.0
2022-03-29,pm25,22.0
2022-03-30,pm10,30.0
2022-03-30,wind-speed,3.6
2022-03-30,pm25,24.0
2022-03-30,humidity,70.5
