Date,Specie,median
2022-12-19,wind-speed,4.6
2022-12-19,pm25,172.0
2022-12-20,pm25,127.0
2022-12-20,humidity,19.5
2022-12-20,wind-speed,4.1
2022-12-21,wind-speed,5.1
2022-12-21,pm25,97.0
2022-12-21,humidity,22.0
2022-12-22,wind-speed,4.3
2022-12-22,pm25,114.0
2022-12-22,humidity,27.0
2022-12-23,humidity,25.0
2022-12-23,pm25,161.0
2022-12-23,wind-speed,4.3
2022-12-24,wind-speed,3.6
2022-12-24,humidity,28.0
2022-12-24,pm25,127.0
2022-12-25,wind-speed,2.5
2022-12-25,pm25,156.0
2022-12-25,humidity,24.0
2022-12-26,humidity,27.5
2022-12-26,wind-speed,2.5
2022-12-26,pm25,153.0
2022-12-27,humidity,28.0
2022-12-27,wind-speed,3.0
2022-12-27,pm25,169.0
2022-12-28,wind-speed,3.3
2022-12-28,pm25,179.0
2022-12-28,humidity,26.0
2022-12-29,humidity,19.0
2022-12-29,wind-speed,4.3
2022-12-29,pm25,184.0
2022-12-30,pm25,109.0
2022-12-30,wind-speed,5.4
2022-12-30,humidity,20.5
2022-12-31,pm25,78.0
2022-12-31,humidity,17.0
2022-12-31,wind-speed,5.1
