Date,Specie,median
2022-06-28,wind-speed,3.7
2022-06-28,pm25,25.0
2022-06-28,humidity,80.0
2022-06-28,pm10,16.0
2022-06-29,humidity,82.0
2022-06-29,pm10,16.0
2022-06-29,wind-speed,3.2
2022-06-29,pm25,25.0
2022-06-30,pm10,10.0
2022-06-30,humidity,84.5
2022-06-30,wind-speed,1.2
2022-06-30,pm25,21.0
2022-07-01,wind-speed,5.2
2022-07-01,pm25,25.0
2022-07-01,humidity,75.0
2022-07-01,pm10,14.0
2022-07-02,pm25,25.0
2022-07-02,humidity,82.2
2022-07-02,wind-speed,3.2
2022-07-02,pm10,13.0
2022-07-03,humidity,77.0
2022-07-03,wind-speed,2.5
2022-07-03,pm25,17.0
2022-07-03,pm10,9.0
2022-07-04,humidity,73.7
2022-07-04,pm25,17.0
2022-07-04,pm10,9.0
2022-07-04,wind-speed,1.7
2022-07-05,wind-speed,3.2
2022-07-05,pm10,8.0
2022-07-05,humidity,77.2
2022-07-05,pm25,25.0
2022-07-06,humidity,76.5
2022-07-06,wind-speed,2.7
2022-07-06,pm10,9.0
2022-07-06,pm25,21.0
2022-07-07,pm10,9.0
2022-07-07,wind-speed,4.4
2022-07-07,pm25,21.0
2022-07-07,humidity,72.7
2022-07-08,wind-speed,3.2
2022-07-08,humidity,73.0
2022-07-08,pm25,25.0
2022-07-08,pm10,8.0
2022-07-09,humidity,70.2
2022-07-09,pm10,7.0
2022-07-09,wind-speed,3.7
2022-07-09,pm25,21.0
2022-07-10,humidity,68.0
2022-07-10,wind-speed,1.5
2022-07-10,pm10,10.0
2022-07-10,pm25,30.0
2022-07-11,wind-speed,0.6
2022-07-11,pm10,14.0
2022-07-11,pm25,34.0
2022-07-11,humidity,68.5
2022-07-12,wind-speed,0.4
2022-07-12,pm10,16.0
2022-07-12,humidity,76.6
2022-07-12,pm25,34.0
2022-07-13,pm25,25.0
2022-07-13,wind-speed,3.7
2022-07-13,humidity,69.2
2022-07-13,pm10,10.0
2022-07-14,pm25,13.0
2022-07-14,pm10,7.0
2022-07-14,wind-speed,5.1
2022-07-14,humidity,64.8
2022-07-15,pm10,13.0
2022-07-15,wind-speed,3.1
2022-07-15,pm25,21.0
2022-07-15,humidity,74.3
2022-07-16,pm10,12.0
2022-07-16,pm25,30.0
2022-07-16,humidity,68.2
2022-07-16,wind-speed,1.2
2022-07-17,pm25,30.0
2022-07-17,pm10,17.0
2022-07-17,humidity,54.7
2022-07-17,wind-speed,1.5
2022-07-18,pm25,34.0
2022-07-18,pm10,21.0
2022-07-18,humidity,48.2
2022-07-18,wind-speed,0.7
2022-07-19,wind-speed,1.7
2022-07-19,pm25,65.0
