Date,Specie,median
2022-03-22,pm10,24.0
2022-03-22,wind-speed,2.2
2022-03-22,pm25,25.0
2022-03-22,humidity,22.4
2022-03-23,pm10,14.0
2022-03-23,wind-speed,2.7
2022-03-23,humidity,12.7
2022-03-23,pm25,13.0
2022-03-24,pm10,17.0
2022-03-24,wind-speed,1.7
2022-03-24,humidity,16.0
2022-03-24,pm25,17.0
2022-03-25,humidity,14.5
2022-03-25,pm10,20.0
2022-03-25,pm25,17.0
2022-03-25,wind-speed,1.4
2022-03-26,pm25,21.0
2022-03-26,pm10,22.0
2022-03-26,wind-speed,1.9
2022-03-26,humidity,12.0
2022-03-27,humidity,9.0
2022-03-27,wind-speed,2.6
2022-03-27,pm25,21.0
2022-03-27,pm10,19.0
2022-03-28,pm10,27.0
2022-03-28,wind-speed,3.6
2022-03-28,humidity,17.9
2022-03-28,pm25,25.0
2022-03-29,humidity,60.5
2022-03-29,pm10,9.0
2022-03-29,wind-speed,3.1
2022-03-29,pm25,13.0
2022-03-30,pm25,17.0
2022-03-30,pm10,14.0
2022-03-30,wind-speed,2.1
2022-03-30,humidity,45.0
2022-03-31,humidity,30.7
2022-03-31,wind-speed,1.6
2022-03-31,pm10,15.0
2022-03-31,pm25,17.0
2022-04-01,pm10,18.0
2022-04-01,pm25,21.0
2022-04-01,wind-speed,1.3
2022-04-01,humidity,25.8
2022-04-02,pm25,21.0
2022-04-02,humidity,24.0
2022-04-02,wind-speed,2.0
2022-04-02,pm10,19.0
2022-04-03,wind-speed,2.1
2022-04-03,humidity,25.7
2022-04-03,pm10,15.0
2022-04-03,pm25,17.0
2022-04-04,humidity,31.2
2022-04-04,pm10,20.0
2022-04-04,wind-speed,2.1
2022-04-04,pm25,25.0
2022-04-05,humidity,24.7
2022-04-05,wind-speed,2.2
2022-04-05,pm10,24.0
2022-04-05,pm25,25.0
2022-04-06,wind-speed,3.2
2022-04-06,pm25,21.0
2022-04-06,humidity,19.0
2022-04-06,pm10,25.0
2022-04-07,pm10,15.0
2022-04-07,wind-speed,1.7
2022-04-07,humidity,6.9
2022-04-07,pm25,17.0
2022-04-08,pm25,21.0
2022-04-08,pm10,20.0
2022-04-08,wind-speed,1.3
2022-04-08,humidity,7.8
2022-04-09,pm25,21.0
2022-04-09,wind-speed,3.8
2022-04-09,pm10,27.0
2022-04-09,humidity,9.5
2022-04-10,pm25,30.0
2022-04-10,pm10,26.0
2022-04-10,wind-speed,4.2
2022-04-10,humidity,19.9
2022-04-11,humidity,29.5
2022-04-11,pm25,30.0
2022-04-11,pm10,30.0
2022-04-11,wind-speed,5.8
2022-04-12,pm10,30.0
2022-04-12,humidity,29.8
2022-04-12,pm25,34.0
2022-04-12,wind-speed,5.5
2022-04-13,humidity,10.0
2022-04-13,pm25,25.0
2022-04-13,pm10,21.0
2022-04-13,wind-speed,1.9
2022-04-14,pm10,28.0
2022-04-14,wind-speed,1.7
2022-04-14,pm25,25.0
2022-04-14,humidity,11.0
2022-04-15,wind-speed,1.6
2022-04-15,pm10,21.0
2022-04-15,pm25,25.0
2022-04-15,humidity,11.0
2022-04-16,humidity,10.5
2022-04-16,wind-speed,2.1
2022-04-16,pm10,18.0
2022-04-16,pm25,21.0
2022-04-17,pm10,22.0
2022-04-17,humidity,12.9
2022-04-17,wind-speed,2.0
2022-04-17,pm25,25.0
2022-04-18,humidity,9.7
2022-04-18,pm25,38.0
2022-04-18,pm10,33.0
2022-04-18,wind-speed,2.5
2022-04-19,humidity,9.5
2022-04-19,pm10,28.0
2022-04-19,pm25,30.0
2022-04-19,wind-speed,2.6
2022-04-20,wind-speed,2.1
2022-04-20,pm25,25.0
2022-04-20,humidity,11.2
2022-04-20,pm10,20.0
2022-04-21,wind-speed,2.5
2022-04-21,pm10,23.0
2022-04-21,pm25,30.0
2022-04-21,humidity,13.0
2022-04-22,wind-speed,5.5
2022-04-22,pm10,34.0
2022-04-22,humidity,20.0
2022-04-22,pm25,34.0
2022-04-23,pm10,39.0
2022-04-23,wind-speed,2.2
2022-04-23,pm25,38.0
2022-04-23,humidity,20.0
2022-04-24,pm10,21.0
2022-04-24,wind-speed,2.5
2022-04-24,pm25,25.0
2022-04-24,humidity,13.0
2022-04-25,pm10,32.0
2022-04-25,pm25,42.0
2022-04-25,humidity,8.8
