Wavelength [nm];Reflectivity
2151.1;40.8324
2152;40.9215
2152.9;41.0871
2153.8;41.12
2154.7;40.9948
2155.6;40.8926
2156.5;40.9459
2157.4;40.9415
2158.3;41.0376
2159.2;41.0507
2160.1;40.9086
2161;40.5692
2161.9;40.4425
2162.8;40.652
2163.7;40.8277
2164.6;40.7894
2165.5;40.5961
2166.4;40.6608
2167.3;40.7118
2168.2;40.5607
2169.1;40.306
2170;40.3856
2170.9;40.6608
2171.8;40.8263
2172.7;40.5548
2173.6;40.475
2174.6;40.6161
2175.5;40.7665
2176.4;40.5434
2177.3;40.4071
2178.2;40.5094
2179.1;40.5932
2180;40.495
2181;40.3146
2181.9;40.3234
2182.8;40.3009
2183.7;40.2765
2184.6;40.3688
2185.6;40.4171
2186.5;40.3768
2187.4;40.2936
2188.3;40.3161
2189.3;40.3248
2190.2;40.2792
2191.1;40.2851
2192;40.2792
2193;40.1974
2193.9;40.2313
2194.8;40.1918
2195.7;40.2382
2196.7;40.2667
2197.6;40.1903
2198.5;40.0309
2199.5;39.9676
2200.4;40.0731
2201.3;40.0998
2202.3;40.0099
2203.2;39.9989
2204.1;40.0707
2205.1;40.1466
2206;40.0846
2207;40.0099
2207.9;39.9047
2208.8;39.9791
2209.8;39.9945
2210.7;40.0677
2211.7;40.1759
2212.6;40.2894
2213.6;40.3119
2214.5;40.3529
2215.5;40.485
2216.4;40.5802
2217.3;40.5248
2218.3;40.35
2219.2;40.3644
2220.2;40.6745
2221.1;40.6889
2222.1;40.5831
2223.1;40.629
2224;40.7392
2225;40.6549
2225.9;40.7206
2226.9;40.7936
2227.8;40.7794
2228.8;40.7147
2229.7;40.6774
2230.7;40.7606
2231.7;40.8009
2232.6;40.7909
2233.6;40.831
2234.5;40.7462
2235.5;40.8324
2236.5;40.7521
2237.4;40.5961
2238.4;40.6491
2239.4;40.6334
2240.3;40.6491
2241.3;40.7291
2242.3;40.7421
2243.3;40.7706
2244.2;40.6644
2245.2;40.5722
2246.2;40.5109
2247.1;40.6391
2248.1;40.7492
2249.1;40.6205
2250.1;40.6464
2251;40.6161
2252;40.4694
2253;40.4794
2254;40.518
2255;40.5751
2255.9;40.5333
2256.9;40.4809
2257.9;40.5407
2258.9;40.4923
2259.9;40.3856
2260.9;40.4965
2261.8;40.6933
2262.8;40.622
2263.8;40.421
2264.8;40.4223
2265.8;40.4909
2266.8;40.4267
2267.8;40.3358
2268.8;40.4086
2269.8;40.3956
2270.8;40.3826
2271.8;40.4157
2272.8;40.4835
2273.8;40.508
2274.7;40.4794
2275.7;40.3768
2276.7;40.2553
2277.7;40.3414
2278.7;40.4267
2279.8;40.3161
2280.8;40.3248
2281.8;40.3473
2282.8;40.3688
2283.8;40.3349
2284.8;40.254
2285.8;40.306
2286.8;40.3488
2287.8;40.2582
2288.8;40.2807
2289.8;40.3161
2290.8;40.2084
2291.8;40.1266
2292.9;40.1818
2293.9;40.2367
2294.9;40.3205
2295.9;40.2655
2296.9;40.2069
2297.9;40.1845
2299;40.1564
2300;40.1818
2301;40.2127
2302;40.1466
2303;40.1112
2304.1;40.0975
2305.1;40.017
2306.1;39.9213
2307.1;39.9396
2308.2;39.9581
2309.2;39.9845
2310.2;39.9801
2311.3;39.954
2312.3;39.9606
2313.3;39.8937
2314.4;39.9213
2315.4;40.0294
2316.4;40.0155
2317.5;40.028
2318.5;39.9676
