0,Florianopolis,Brazil,-3,-27.43,-48.44,3,
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
11/11/2022,13:00:00,426.849152542372,10.2353559322033,409.810169491525,24.1084247457627,1036.08352542372,0.256582762010607
11/11/2022,14:00:00,171.996610169491,-2.29030508474576,170.177966101694,22.8506194915254,1035.91957627118,0.257784796896955
11/11/2022,15:00:00,102.87627118644,-2.72154237288135,102.067796610169,21.7659608474576,1036.13561016949,0.253334453706942
11/11/2022,16:00:00,70.2353448275862,-1.84213793103448,69.9281034482758,21.4187122413793,1035.63339655172,0.198857345868978
11/11/2022,17:00:00,26.15655,-2.15468333333333,26.274,21.1473011666666,1035.6566,0.193455929428781
11/11/2022,18:00:00,1.2695,-2.08431034482758,1.60463793103448,21.0919786206896,1036.03136206896,0.185889023455022
11/11/2022,19:00:00,-0.575559322033898,-1.69949152542372,-0.381813559322033,21.038360338983,1036.18591525423,0.164905586394129
11/11/2022,20:00:00,-0.428157894736842,-1.67870175438596,-0.243438596491228,21.3102468421052,1036.23392982456,0.156081418467702
11/11/2022,21:00:00,-0.425559322033898,-1.82118644067796,-0.245355932203389,20.8910528813559,1036.06513559322,0.156051120916813
11/11/2022,22:00:00,-0.305186440677966,-1.61238983050847,-0.093457627118644,20.7063972881355,1036.28828813559,0.156235103430849
11/11/2022,23:00:00,-0.310206896551724,-1.45965517241379,-0.0421379310344827,21.270614137931,1036.37008620689,0.156079056826906
11/11/2022,00:00:00,-0.397620689655172,-1.96741379310344,-0.280155172413793,20.9691881034482,1035.5179137931,0.156134619496555
11/12/2022,01:00:00,-0.138627118644067,-1.76616949152542,-0.0537627118644067,20.2866977966101,1035.04166101694,0.156088924401283
11/12/2022,02:00:00,-0.705316666666666,-1.49681666666666,-0.430883333333333,20.8795883333333,1034.91325,0.156149181043804
11/12/2022,03:00:00,-0.8962,-1.7928,-0.565566666666666,21.0394713333333,1034.68446666666,0.15620205133863
11/12/2022,04:00:00,-0.6456,-1.65698333333333,-0.249833333333333,21.0040523333333,1034.87208333333,0.156216171227072
11/12/2022,05:00:00,13.8560677966101,13.3090508474576,13.9405423728813,20.9811132203389,1034.92547457627,0.15646876963983
11/12/2022,06:00:00,117.658620689655,28.3792758620689,110.215344827586,21.58314,1035.55758620689,0.214901417495681
11/12/2022,07:00:00,239.474545454545,54.5911454545454,207.810909090909,21.961984,1036.069,0.252729264591465
11/12/2022,08:00:00,641.998275862069,622.91724137931,223.106896551724,22.7197193103448,1036.30806896551,0.259097897987994
11/12/2022,09:00:00,886.141379310344,836.065517241379,186.955172413793,24.006629137931,1036.28527586206,0.268439110783141
11/12/2022,10:00:00,854.977192982456,309.760859649122,558.617543859649,24.6934015789473,1036.32189473684,0.257626390230112
11/12/2022,11:00:00,960.805263157894,413.612807017543,525.843859649122,25.7177089473684,1036.03075438596,0.25506957468091
11/12/2022,12:00:00,1082.84210526315,920.049122807017,155.019298245614,26.9139819298245,1035.41789473684,0.250679146718726
11/12/2022,13:00:00,1005.71403508771,830.201754385964,213.705263157894,26.5984203508771,1034.8145614035,0.243803372692711
11/12/2022,14:00:00,513.886440677966,50.5906610169491,460.222033898305,25.5785120338983,1034.10752542372,0.244090035928854
11/12/2022,15:00:00,667.205263157894,696.130175438596,205.222807017543,26.0276940350877,1033.65380701754,0.254974402701917
11/12/2022,16:00:00,391.04,481.365454545454,152.861818181818,25.0311901818181,1033.58438181818,0.254757080422004
11/12/2022,17:00:00,125.277457627118,81.0259322033898,97.0303389830508,23.7988986440677,1033.82172881355,0.275674951823723
11/12/2022,18:00:00,10.4449285714285,-1.79966071428571,10.5541249999999,23.1101021428571,1034.23326785714,0.269026211982931
11/12/2022,19:00:00,-0.349982758620689,-1.77656896551724,-0.236465517241379,22.9072153448275,1034.81581034482,0.219143621598342
11/12/2022,20:00:00,-0.36245,-1.6115,-0.168516666666666,22.7218821666666,1035.04706666666,0.157009217049881
